frame,nose_x,nose_y,left_eye_inner_x,left_eye_inner_y,left_eye_x,left_eye_y,left_eye_outer_x,left_eye_outer_y,right_eye_inner_x,right_eye_inner_y,right_eye_x,right_eye_y,right_eye_outer_x,right_eye_outer_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_pinky_x,left_pinky_y,right_pinky_x,right_pinky_y,left_index_x,left_index_y,right_index_x,right_index_y,left_thumb_x,left_thumb_y,right_thumb_x,right_thumb_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_heel_x,left_heel_y,right_heel_x,right_heel_y,left_foot_index_x,left_foot_index_y,right_foot_index_x,right_foot_index_y,speed_px_s,speed_kmh,speed_mph,center_x,center_y
1,0.2635416666666667,0.6481481481481481,0.2630208333333333,0.6435185185185185,0.2625,0.6425925925925926,0.26145833333333335,0.6416666666666667,0.265625,0.6462962962962963,0.26614583333333336,0.6472222222222223,0.26666666666666666,0.6481481481481481,0.259375,0.6425925925925926,0.26666666666666666,0.6509259259259259,0.2609375,0.65,0.2635416666666667,0.6527777777777778,0.24583333333333332,0.6527777777777778,0.2677083333333333,0.6787037037037037,0.2296875,0.6703703703703704,0.2604166666666667,0.7092592592592593,0.2265625,0.6916666666666667,0.25052083333333336,0.7203703703703703,0.22395833333333334,0.6981481481481482,0.24895833333333334,0.725,0.22552083333333334,0.6981481481481482,0.2484375,0.7212962962962963,0.2265625,0.6962962962962963,0.24895833333333334,0.7194444444444444,0.234375,0.712037037037037,0.24427083333333333,0.7222222222222222,0.23072916666666668,0.7481481481481481,0.24635416666666668,0.7722222222222223,0.21822916666666667,0.7805555555555556,0.22760416666666666,0.7953703703703704,0.21614583333333334,0.7833333333333333,0.22604166666666667,0.7953703703703704,0.215625,0.8046296296296296,0.2234375,0.8185185185185185,,,,,
2,0.26197916666666665,0.649074074074074,0.2625,0.6444444444444445,0.26197916666666665,0.6435185185185185,0.2609375,0.6435185185185185,0.26458333333333334,0.6472222222222223,0.265625,0.6481481481481481,0.26614583333333336,0.649074074074074,0.259375,0.6444444444444445,0.26666666666666666,0.6509259259259259,0.2604166666666667,0.6509259259259259,0.2625,0.6537037037037037,0.2453125,0.6537037037037037,0.26875,0.6777777777777778,0.22552083333333334,0.6666666666666666,0.2635416666666667,0.7092592592592593,0.22447916666666667,0.6888888888888889,0.25364583333333335,0.7212962962962963,0.22395833333333334,0.6925925925925925,0.2515625,0.725,0.22604166666666667,0.6935185185185185,0.25052083333333336,0.7222222222222222,0.22604166666666667,0.6925925925925925,0.25104166666666666,0.7203703703703703,0.23177083333333334,0.7148148148148148,0.24375,0.7240740740740741,0.22708333333333333,0.75,0.24427083333333333,0.7722222222222223,0.21510416666666668,0.7842592592592592,0.22395833333333334,0.7953703703703704,0.2125,0.787962962962963,0.2203125,0.7962962962962963,0.21510416666666668,0.8,0.2203125,0.8166666666666667,174.7538030423167,629.1136909523401,390.9130032607465,459.5,781.0
3,0.2625,0.6509259259259259,0.2630208333333333,0.6462962962962963,0.2625,0.6453703703703704,0.26197916666666665,0.6444444444444445,0.265625,0.6481481481481481,0.26614583333333336,0.649074074074074,0.2671875,0.65,0.2598958333333333,0.6453703703703704,0.2671875,0.6518518518518519,0.2609375,0.6527777777777778,0.2630208333333333,0.6546296296296297,0.24479166666666666,0.6546296296296297,0.2677083333333333,0.6787037037037037,0.22395833333333334,0.6638888888888889,0.26197916666666665,0.7092592592592593,0.22604166666666667,0.6898148148148148,0.2546875,0.7222222222222222,0.225,0.6944444444444444,0.253125,0.7268518518518519,0.22708333333333333,0.6953703703703704,0.253125,0.7240740740740741,0.22708333333333333,0.6944444444444444,0.253125,0.7222222222222222,0.23125,0.7175925925925926,0.24375,0.7277777777777777,0.22552083333333334,0.7574074074074074,0.24375,0.775,0.21302083333333333,0.7916666666666666,0.22083333333333333,0.7981481481481482,0.209375,0.7944444444444444,0.21666666666666667,0.8009259259259259,0.21197916666666666,0.8083333333333333,0.21770833333333334,0.8222222222222222,84.76804569668901,305.16496450808046,189.62065916135046,458.5,782.0
4,0.2640625,0.6527777777777778,0.26458333333333334,0.6472222222222223,0.2640625,0.6462962962962963,0.2635416666666667,0.6462962962962963,0.26614583333333336,0.65,0.26614583333333336,0.65,0.26666666666666666,0.6509259259259259,0.26145833333333335,0.6462962962962963,0.26614583333333336,0.6527777777777778,0.26197916666666665,0.6546296296296297,0.2630208333333333,0.6564814814814814,0.24427083333333333,0.6546296296296297,0.26458333333333334,0.6796296296296296,0.23072916666666668,0.6694444444444444,0.2526041666666667,0.7055555555555556,0.22864583333333333,0.6925925925925925,0.25364583333333335,0.7231481481481481,0.228125,0.6981481481481482,0.25416666666666665,0.7296296296296296,0.22916666666666666,0.6990740740740741,0.2552083333333333,0.725925925925926,0.2296875,0.6972222222222222,0.25416666666666665,0.725,0.23541666666666666,0.7185185185185186,0.24270833333333333,0.7296296296296296,0.23489583333333333,0.7638888888888888,0.2453125,0.7768518518518519,0.22135416666666666,0.7925925925925926,0.22447916666666667,0.8,0.21875,0.7962962962962963,0.221875,0.8046296296296296,0.22083333333333333,0.8111111111111111,0.225,0.825925925925926,643.4838327747419,2316.541797989071,1439.431893558267,468.0,777.0
5,0.2625,0.6574074074074074,0.26510416666666664,0.6527777777777778,0.26458333333333334,0.6527777777777778,0.26458333333333334,0.6518518518518519,0.265625,0.6537037037037037,0.265625,0.6537037037037037,0.265625,0.6537037037037037,0.2609375,0.6509259259259259,0.2640625,0.6546296296296297,0.2609375,0.6592592592592592,0.2630208333333333,0.6611111111111111,0.24635416666666668,0.6592592592592592,0.2578125,0.6768518518518518,0.23541666666666666,0.6842592592592592,0.24270833333333333,0.6925925925925925,0.23333333333333334,0.7,0.23958333333333334,0.7092592592592593,0.2328125,0.7037037037037037,0.23854166666666668,0.7148148148148148,0.23385416666666667,0.7027777777777777,0.24010416666666667,0.7129629629629629,0.234375,0.700925925925926,0.24010416666666667,0.7111111111111111,0.2359375,0.725,0.23958333333333334,0.7314814814814815,0.2375,0.7675925925925926,0.24322916666666666,0.7787037037037037,0.22552083333333334,0.787962962962963,0.2265625,0.8018518518518518,0.22291666666666668,0.7888888888888889,0.2234375,0.8037037037037037,0.22447916666666667,0.7972222222222223,0.22604166666666667,0.825,174.7538030423167,629.1136909523401,390.9130032607465,470.5,775.5
6,0.2640625,0.662962962962963,0.265625,0.6574074074074074,0.26510416666666664,0.6564814814814814,0.26458333333333334,0.6564814814814814,0.26614583333333336,0.6583333333333333,0.26666666666666666,0.6583333333333333,0.2671875,0.6592592592592592,0.2625,0.6555555555555556,0.265625,0.6592592592592592,0.26197916666666665,0.6638888888888889,0.2635416666666667,0.6657407407407407,0.24375,0.6611111111111111,0.2625,0.6787037037037037,0.22552083333333334,0.6777777777777778,0.23229166666666667,0.7018518518518518,0.22395833333333334,0.7,0.24375,0.712037037037037,0.221875,0.7055555555555556,0.24166666666666667,0.7212962962962963,0.22447916666666667,0.7046296296296296,0.24322916666666666,0.7222222222222222,0.22604166666666667,0.7027777777777777,0.24322916666666666,0.7194444444444444,0.22447916666666667,0.7305555555555555,0.22708333333333333,0.7407407407407407,0.22239583333333332,0.7675925925925926,0.23489583333333333,0.7842592592592592,0.2078125,0.7925925925925926,0.215625,0.812962962962963,0.20520833333333333,0.7944444444444444,0.21145833333333333,0.8148148148148148,0.20572916666666666,0.8037037037037037,0.21354166666666666,0.8305555555555556,978.5111518869835,3522.6401467931405,2188.8664306530004,458.0,786.0
7,0.26614583333333336,0.6666666666666666,0.26614583333333336,0.6620370370370371,0.265625,0.6611111111111111,0.26510416666666664,0.6611111111111111,0.2677083333333333,0.662962962962963,0.2682291666666667,0.6638888888888889,0.26875,0.6638888888888889,0.2630208333333333,0.6601851851851852,0.2671875,0.6648148148148149,0.2640625,0.6685185185185185,0.26510416666666664,0.6703703703703704,0.2453125,0.6666666666666666,0.265625,0.6851851851851852,0.22447916666666667,0.6814814814814815,0.25104166666666666,0.7129629629629629,0.22447916666666667,0.7027777777777777,0.24947916666666667,0.725925925925926,0.22291666666666668,0.7092592592592593,0.24739583333333334,0.7333333333333333,0.22552083333333334,0.7092592592592593,0.24739583333333334,0.7324074074074074,0.2265625,0.7074074074074074,0.24791666666666667,0.7287037037037037,0.22604166666666667,0.7333333333333333,0.23489583333333333,0.7444444444444445,0.21770833333333334,0.7712962962962963,0.23854166666666668,0.7898148148148149,0.20416666666666666,0.8027777777777778,0.21770833333333334,0.8148148148148148,0.20052083333333334,0.8083333333333333,0.21041666666666667,0.8101851851851852,0.20208333333333334,0.8138888888888889,0.21510416666666668,0.8296296296296296,524.2614091269501,1887.3410728570202,1172.7390097822395,453.5,793.5
8,0.26510416666666664,0.6675925925925926,0.265625,0.6638888888888889,0.26510416666666664,0.662962962962963,0.2640625,0.6620370370370371,0.2671875,0.6648148148148149,0.2682291666666667,0.6648148148148149,0.26875,0.6657407407407407,0.2625,0.6620370370370371,0.2677083333333333,0.6666666666666666,0.2630208333333333,0.6694444444444444,0.26510416666666664,0.6712962962962963,0.24583333333333332,0.6675925925925926,0.26614583333333336,0.687962962962963,0.22552083333333334,0.6833333333333333,0.2557291666666667,0.7157407407407408,0.225,0.700925925925926,0.25052083333333336,0.7287037037037037,0.22291666666666668,0.7064814814814815,0.24895833333333334,0.7351851851851852,0.22552083333333334,0.7074074074074074,0.24895833333333334,0.7351851851851852,0.22447916666666667,0.7092592592592593,0.24895833333333334,0.7314814814814815,0.22708333333333333,0.7342592592592593,0.23854166666666668,0.7453703703703703,0.21770833333333334,0.7722222222222223,0.24010416666666667,0.7898148148148149,0.20208333333333334,0.8046296296296296,0.21822916666666667,0.8148148148148148,0.19895833333333332,0.8083333333333333,0.21197916666666666,0.8083333333333333,0.20104166666666667,0.8185185185185185,0.215625,0.8287037037037037,191.90182529768776,690.846571071676,429.27202471337836,451.5,796.0
9,0.26458333333333334,0.6675925925925926,0.26458333333333334,0.6620370370370371,0.2640625,0.6611111111111111,0.2630208333333333,0.6601851851851852,0.26666666666666666,0.6638888888888889,0.2671875,0.6638888888888889,0.2682291666666667,0.6648148148148149,0.26145833333333335,0.6611111111111111,0.2677083333333333,0.6666666666666666,0.2625,0.6694444444444444,0.2640625,0.6712962962962963,0.2453125,0.6685185185185185,0.26666666666666666,0.6898148148148148,0.2265625,0.6833333333333333,0.2552083333333333,0.7231481481481481,0.22604166666666667,0.6981481481481482,0.25,0.7314814814814815,0.22395833333333334,0.7037037037037037,0.24739583333333334,0.7379629629629629,0.22604166666666667,0.7046296296296296,0.24739583333333334,0.737037037037037,0.22708333333333333,0.7046296296296296,0.24791666666666667,0.7333333333333333,0.2265625,0.7351851851851852,0.23802083333333332,0.7472222222222222,0.2203125,0.7731481481481481,0.24166666666666667,0.7898148148148149,0.20364583333333333,0.8055555555555556,0.21875,0.8138888888888889,0.1984375,0.8092592592592592,0.21354166666666666,0.8083333333333333,0.20208333333333334,0.8203703703703704,0.21614583333333334,0.8305555555555556,123.56959916936046,444.85055700969764,276.41723545967284,451.0,798.0
10,0.265625,0.6685185185185185,0.265625,0.662962962962963,0.26510416666666664,0.6620370370370371,0.26458333333333334,0.6611111111111111,0.2677083333333333,0.6648148148148149,0.2682291666666667,0.6657407407407407,0.26875,0.6657407407407407,0.2630208333333333,0.6620370370370371,0.2682291666666667,0.6685185185185185,0.2635416666666667,0.6703703703703704,0.26510416666666664,0.6722222222222223,0.24739583333333334,0.6694444444444444,0.26614583333333336,0.6916666666666667,0.22864583333333333,0.6851851851851852,0.2546875,0.7287037037037037,0.22552083333333334,0.6990740740740741,0.24895833333333334,0.7351851851851852,0.22604166666666667,0.7018518518518518,0.246875,0.7388888888888889,0.22604166666666667,0.7046296296296296,0.246875,0.7379629629629629,0.22916666666666666,0.7018518518518518,0.246875,0.7351851851851852,0.2265625,0.7361111111111112,0.2375,0.7472222222222222,0.22135416666666666,0.774074074074074,0.24270833333333333,0.7898148148148149,0.20416666666666666,0.8064814814814815,0.21875,0.8138888888888889,0.1984375,0.8101851851851852,0.21302083333333333,0.8101851851851852,0.20416666666666666,0.8212962962962963,0.21666666666666667,0.8314814814814815,84.76804569668901,305.16496450808046,189.62065916135046,450.0,799.0
